Feature,Importance
SPOS,0.18285821313777806
MOAQ,0.16443216425899984
ACS,0.12350517239021033
BFI,0.09001459778544892
EES,0.06856733309009465
BIO9_1,0.05821447706292869
BIO6,0.04065288485592703
NCS,0.03834813731296712
JIMS,0.03148410863457495
GSOI,0.030153770576748756
BIO13,0.030091450583861094
BIO12,0.029741676253171773
BIO3,0.01861491532404659
BIO8,0.01630419848799067
BIO11,0.015001310964520483
BIO4,0.014305522527429268
BIO7,0.014199900583920157
BIO1,0.011445452736873384
BIO10,0.01124892894499025
BIO5,0.006092808301745707
BIO2,0.004722976185772121
